fileN,file,id,displayName,formattedAddress,latitude,longitude,servesCoffee,takeout,goodForChildren,goodForGroups
63,156_location.json,ChIJs_UarSMTE2sRbfkYAzL4fQ4,The Fern & Anchor,76A Addison Ave Lake Illawarra NSW 2528 Australia,-34.5413052,150.85703340000003,True,True,True,True
63,156_location.json,ChIJr5hLRFUTE2sRqA_avKfez_Y,Dirty Fries,28 Queen St Lake Illawarra NSW 2528 Australia,-34.5470119,150.8555551,false,True,True,True
63,156_location.json,ChIJF0y0qQkUE2sR48XqzQsFP6w,Subway Warilla,Warilla Grove Shopping Centre 7 43-57 Shellharbour Rd Warilla NSW 2528 Australia,-34.5467011,150.8633936,false,True,True,True
63,156_location.json,ChIJ3cKMpQkUE2sRrFMnLsNq0-8,Gloria Jean's Coffees Warilla,Shop 8 Warilla Grove Shopping Centre Shellharbour Rd Warilla NSW 2528 Australia,-34.5468051,150.8633843,True,True,True,True
63,156_location.json,ChIJVQH9-g0VE2sR4zIMeVDsuPM,King Chinese Food,Shop 4/43-57 Shellharbour Rd Warilla NSW 2528 Australia,-34.5468313,150.86299069999998,false,True,True,false
63,156_location.json,ChIJR8DsGagTE2sRcwxgZlXb0MI,Greedy Buggers Pit Stop,26 Queen St Lake Illawarra NSW 2528 Australia,-34.546893499999996,150.855546,True,True,True,false
63,156_location.json,ChIJzQY3QoQVE2sReWLBTMyfCo0,Akira sushi warilla,43-57 Shellharbour Rd Warilla NSW 2528 Australia,-34.5468313,150.86299069999998,false,True,false,True
63,156_location.json,ChIJOQbtyEUTE2sRoZOdLLBHlG8,#letsroll,80b Addison Ave Lake Illawarra NSW 2528 Australia,-34.5413847,150.8567335,false,True,false,false
64,157_location.json,ChIJ9WUH038UE2sRxM0ILqI68cI,Shellharbour Resort & Conference Centre,400 Shellharbour Rd Shellharbour NSW 2529 Australia,-34.5729751,150.8624572,false,false,True,false
64,157_location.json,ChIJRbFov4kTE2sR2cGtdRFW-Fk,Billy's Kebab's,258 Shellharbour Rd Barrack Heights NSW 2528 Australia,-34.559272299999996,150.8594325,False,True,True,false
64,157_location.json,ChIJ0TurgskVE2sRMDKZF1x-e4I,Riggsy's takeaway,20 Lagoon St Barrack Heights NSW 2528 Australia,-34.5616056,150.86161439999998,False,True,True,false
64,157_location.json,ChIJKeOIuIkTE2sR6QAEH-WeEmY,Enhance Barrack Heights,254-256 Shellharbour Rd Barrack Heights NSW 2528 Australia,-34.5594249,150.8594128,false,false,false,false
64,157_location.json,ChIJ9WUH038UE2sRsqVnuuPx_JY,Branches Restaurant,400 Shellharbour Rd Shellharbour NSW 2529 Australia,-34.5731745,150.8624647,True,True,True,True
64,157_location.json,ChIJ__9zw4kTE2sR0jyTbQVqFIU,Red Sands Bar & Grill(Warilla Bowls & Recreation),Jason Ave Warilla NSW 2528 Australia,-34.561475699999995,150.8647399,True,True,True,True
65,158_location.json,ChIJxSWKW30TE2sRCBqH8iVReCg,The Links Shell Cove,1 Golf Dr Shell Cove NSW 2529 Australia,-34.5976041,150.8488629,false,false,false,false
65,158_location.json,ChIJSUAw0EQTE2sR4YudJ9EsVFM,The Tavern at the Links Shell Cove,Golf Dr Shell Cove NSW 2529 Australia,-34.597595999999996,150.84884449999998,True,True,false,True
65,158_location.json,ChIJ8W-2aAATE2sRcaHiQAVRFPw,Backyard Brew,1 Golf Dr Shell Cove NSW 2529 Australia,-34.5976876,150.849042,True,True,True,false
73,165_location.json,ChIJbVUWDxcRE2sRtA2IgDFt8eM,McDonald's Unanderra,45 Princes Hwy Unanderra NSW 2526 Australia,-34.4507238,150.84885989999998,True,True,True,True
73,165_location.json,ChIJke42OqQQE2sRudYqqO1P9jg,KFC Unanderra,74-84 Princes Hwy Unanderra NSW 2526 Australia,-34.453657199999995,150.84551629999999,False,True,True,True
73,165_location.json,ChIJ19DqWKEQE2sRmniHGmehHX4,Wests Illawarra,1 Hargreaves St Unanderra NSW 2526 Australia,-34.4516667,150.8427778,false,false,false,false
73,165_location.json,ChIJcQA6878RE2sRe3fvkYjCe6w,Guzman y Gomez - Unanderra,52/68 Princes Hwy Unanderra NSW 2526 Australia,-34.453144699999996,150.8459427,True,True,True,True
73,165_location.json,ChIJH-vwdagQE2sRLLAZSLsqLmA,7-Eleven Unanderra,41 Princes Hwy Unanderra NSW 2526 Australia,-34.4502338,150.8493409,false,false,false,false
73,165_location.json,ChIJER6C7AARE2sROhvVtmOJt2Q,Ambiance Ristorante,4/63 - 67 Princes Hwy Unanderra NSW 2526 Australia,-34.452512999999996,150.8474882,True,True,True,True
73,165_location.json,ChIJYWuqbKQQE2sRwIQu7G5vN3s,D'amato's Family Restaurant,106 Central Rd Unanderra NSW 2526 Australia,-34.4537255,150.8445242,True,True,True,True
73,165_location.json,ChIJfY1VaaYQE2sRMjvdLvwqZ5w,Harbour View Thai Unanderra,1/63 Princes Hwy Unanderra NSW 2526 Australia,-34.4521612,150.8477211,false,True,True,True
73,165_location.json,ChIJKz-ca6QQE2sRO12h_I-wBYc,Unanderra Peacock Palace,110 Central Rd Unanderra NSW 2526 Australia,-34.453973999999995,150.8446434,false,True,True,True
73,165_location.json,ChIJd1GhVs8RE2sRCchSMRA18T8,Unanderra Fish & Chips,2 Tallegalla St Unanderra NSW 2526 Australia,-34.454219,150.8430692,false,True,True,false
73,165_location.json,ChIJUR_iaKYQE2sR-oAe1wS86wY,$iki $iki Baba Kebab House,shop 3/63-67 Princes Hwy Unanderra NSW 2526 Australia,-34.4522675,150.8476455,False,True,True,True
73,165_location.json,ChIJ6V3zZaQQE2sRRPn1zsn7mb0,Cosy Cafe Delight,102-108 Princes Hwy Unanderra NSW 2526 Australia,-34.4545883,150.8446107,True,True,True,True
73,165_location.json,ChIJu3iWsgoaE2sRO_OiR6gxzW4,Cordeaux Caffeine,Shop 1A/26 Derribong Dr Cordeaux Heights NSW 2526 Australia,-34.4450497,150.8377231,True,True,True,True
